"","Idimpianto","Gestore","Bandiera","Tipo.Impianto","Nome.Impianto","Indirizzo","Comune","Provincia","Latitudine","Longitudine"
"1",10583,"PARODI ANGELO","Esso","Altro"," distributore "" ESSO""","VIA UGO POLONIO 16 R 16162","GENOVA","GE",44.4563215275,8.8967226802
"2",26858,"ENI RETE OIL&NONOIL S.P.A.","Agip Eni","Altro","01090 Corso Europa GE","CORSO EUROPA (LATO MONTE) 1462 16166","GENOVA","GE",44.3896165311,9.0135907531
"3",5509,"enirete oil&nonoil S.p.A.","Agip Eni","Altro","1018 GENOVA VOLTRI","DistriparK Europa   16158","GENOVA","GE",44.4262272108,8.7688746944
"4",26128,"ENI RETE OIL&NONOIL S.P.A.","Agip Eni","Altro","1071 GENOVA PERRONE","CORSO PERRONE 98 16152","GENOVA","GE",44.4348845566,8.8857454062
"5",26129,"ENI RETE OIL&NONOIL S.P.A.","Agip Eni","Altro","51490 GENOVA CONTI","PIAZZA MARIO CONTI 25/R 16152","GENOVA","GE",44.4157256536,8.8683039749
"6",6806,"DI GIUSEPPE FABRIZIO","Tamoil","Altro","8026","VIA SIFFREDI 12 ROSSO 16153","GENOVA","GE",44.4154272734,8.8622399472
"7",10023,"A. & V. SERVICE DI VICENTINI V. & C. SOCIETA' IN NOME COLLETTIVO","Agip Eni","Altro","a&V service snc","via renzo righetti,1r 16145","GENOVA","GE",44.3943848344,8.9625091688
"8",19363,"F.LLI CAPOGRECO MARCO & FABRIZIO S.N.C.","Agip Eni","Altro","AGIP","LUNGO BISAGNO ISTRIA 29 R 16141","GENOVA","GE",44.428680612,8.9561239686
"9",16841,"MANCINI CARMELO","Agip Eni","Altro","agip mancini carmelo","VIA CAVALLOTTI FELICE 1 G R 16146","GENOVA","GE",44.3908270683,8.9743177288
"10",16359,"ALLOISIO G. & M. SOCIETA' IN ACCOMANDITA SEMPLICE DI GABRIELLA ALLOISIO & C.","Esso","Altro","alloisio G&M","VIA PEGLI 54 R 16156","GENOVA","GE",44.4240743361,8.8043184849
"11",29195,"ANDREA E MICHELE GIMONDO S.N.C.","Esso","Altro","Andrea e Michele Gimondo snc","VIA RETA COSTANTINO 32 16162","GENOVA","GE",44.4568185419,8.9000147581
"12",8758,"PARODI E MANGINI CARBURANTI SOCIETA' IN ACCOMANDITA SEMPLICE DI ANGELO PARODI E MARCO MANGINI & C.","Pompe Bianche","Altro","api anonima petroli italiana s.p.a","VIA BORZOLI 136 R 16153","GENOVA","GE",44.4332665546,8.8665086031
"13",17012,"BELCASTRO DANIELA S.N.C.","Agip Eni","Altro","Belcastro Daniela snc","PIAZZA OSPEDALE PASTORINO ., 16162","GENOVA","GE",44.4628438,8.9019477
"14",15907,"BRUZZONE & IMARETI SOCIETA' IN NOME COLLETTIVO DI SERGIO BRUZZONE E PAOLO IMARETI","Tamoil","Altro","bruzzone e imareti snc","VIA CANEPARI 229 R 16159","GENOVA","GE",44.4340911475,8.8930710393
"15",29709,"CANEPA GIANCARLO & GIANNI GIUSEPPINA - S.N.C.","Api-Ip","Altro","CANEPA GIANCARLO & GIANNI GIUSEPPINA S.N.C.","LARGO AUGUSTO MERLO 255 R. 16144","GENOVA","GE",44.4199203859,8.9670526911
"16",5942,"GESTIONI EUROPA S.p.A.","Total Erg","Altro","CANTORE","Via Antonio Cantore 24/R 16149","GENOVA","GE",44.4104174199,8.9031957288
"17",5528,"GESTIONI EUROPA S.p.A.","Total Erg","Altro","CORNIGLIANO","Via Cornigliano 189 16126","GENOVA","GE",44.4156261683,8.866314
"18",19865,"CURRELI GIOVANNI ANDREA","Agip Eni","Altro","curreli giovanni andrea","VIA BORGORATTI 23L R, 16132","GENOVA","GE",44.4082405,8.9775795
"19",29782,"DELLEPIANE MARIA GRAZIA E CAU ROBERTO S.N.C.","Agip Eni","Altro","DELLE PIANE E CAU S.n.c. ","Via Struppa 113a/r 16165","GENOVA","GE",44.4494072426,9.0203737379
"20",27380,"DINEGRO CARBURANTI DI MAURO FONTANA S.A.S.","Esso","Altro","dinegro carburanti sas","PIAZZA DINEGRO 21 R. 16126","GENOVA","GE",44.4134880986,8.9106673418
"21",6351,"CROVETTI ALBERTO","Agip Eni","Altro","DISTRIBUTORE AGIP DI CROVETTI ALBERTO","VIA ANGELO SIFFREDI 62 R 16153","GENOVA","GE",44.4199301216,8.8586497307
"22",29448,"MARINA GENOVA DISTRIBUZIONE S.R.L.","Pompe Bianche","Altro","distributore carburante Marina Genova Aeroporto","VIA PIONIERI E AVIATORI D'ITALIA SNC 16154","GENOVA","GE",44.4173250781,8.8377781212
